username	followers	followed_by
ryanseacrest	14210277	kyliejenner
ryanseacrest	14210277	britneyspears
ryanseacrest	14210277	avrillavigne
ryanseacrest	14210277	parishilton
ryanseacrest	14210277	sofiavergara
ryanseacrest	14210277	snoopdogg
ryanseacrest	14210277	rihanna
ryanseacrest	14210277	iamwill
ryanseacrest	14210277	jimmyfallon
ryanseacrest	14210277	kourtneykardash
ryanseacrest	14210277	usher
ryanseacrest	14210277	shaq
ryanseacrest	14210277	billgates
ryanseacrest	14210277	victoriajustice
ryanseacrest	14210277	lindsaylohan
ryanseacrest	14210277	shakira
ryanseacrest	14210277	pharrell
ryanseacrest	14210277	kimkardashian
ryanseacrest	14210277	taylorswift13
ryanseacrest	14210277	nickiminaj
ryanseacrest	14210277	kevinhart4real
ryanseacrest	14210277	katyperry
ryanseacrest	14210277	nickjonas
ryanseacrest	14210277	enriqueiglesias
ryanseacrest	14210277	barackobama
ryanseacrest	14210277	rickygervais
ryanseacrest	14210277	ashleytisdale
ryanseacrest	14210277	mileycyrus
ryanseacrest	14210277	ladygaga
ryanseacrest	14210277	selenagomez
ryanseacrest	14210277	carlyraejepsen
ryanseacrest	14210277	jessicaalba
ryanseacrest	14210277	joejonas
ryanseacrest	14210277	ricky_martin
ryanseacrest	14210277	mariahcarey
ryanseacrest	14210277	ddlovato
ryanseacrest	14210277	aplusk
