username	followers	followed_by
justinbieber	79728393	pitbull
justinbieber	79728393	drake
justinbieber	79728393	ludacris
justinbieber	79728393	arianagrande
justinbieber	79728393	niallofficial
justinbieber	79728393	kyliejenner
justinbieber	79728393	britneyspears
justinbieber	79728393	ryanseacrest
justinbieber	79728393	avrillavigne
justinbieber	79728393	parishilton
justinbieber	79728393	louis_tomlinson
justinbieber	79728393	snoopdogg
justinbieber	79728393	iamwill
justinbieber	79728393	jimmyfallon
justinbieber	79728393	real_liam_payne
justinbieber	79728393	kourtneykardash
justinbieber	79728393	cristiano
justinbieber	79728393	usher
justinbieber	79728393	shaq
justinbieber	79728393	lindsaylohan
justinbieber	79728393	pharrell
justinbieber	79728393	taylorswift13
justinbieber	79728393	nickiminaj
justinbieber	79728393	kevinhart4real
justinbieber	79728393	nickjonas
justinbieber	79728393	enriqueiglesias
justinbieber	79728393	johncena
justinbieber	79728393	zaynmalik
justinbieber	79728393	kdtrey5
justinbieber	79728393	davidguetta
justinbieber	79728393	waynerooney
justinbieber	79728393	ashleytisdale
justinbieber	79728393	mileycyrus
justinbieber	79728393	selenagomez
justinbieber	79728393	carlyraejepsen
justinbieber	79728393	jessicaalba
justinbieber	79728393	mariahcarey
justinbieber	79728393	jlo
justinbieber	79728393	bigsean
jcolenc	8686336	usher
jcolenc	8686336	johnlegend
jcolenc	8686336	treysongz
jcolenc	8686336	wizkhalifa
jcolenc	8686336	pharrell
jcolenc	8686336	nickiminaj
jcolenc	8686336	kevinhart4real
jcolenc	8686336	drake
jcolenc	8686336	nickjonas
jcolenc	8686336	aliciakeys
jcolenc	8686336	zaynmalik
jcolenc	8686336	kdtrey5
jcolenc	8686336	snoopdogg
jcolenc	8686336	rihanna
jcolenc	8686336	jlo
jcolenc	8686336	jimmyfallon
jcolenc	8686336	bigsean
rafaelnadal	9320953	drake
rafaelnadal	9320953	cristiano
rafaelnadal	9320953	waynerooney
harry_styles	27862391	edsheeran
harry_styles	27862391	kendalljenner
harry_styles	27862391	arianagrande
harry_styles	27862391	niallofficial
harry_styles	27862391	britneyspears
harry_styles	27862391	ryanseacrest
harry_styles	27862391	avrillavigne
harry_styles	27862391	louis_tomlinson
harry_styles	27862391	iamwill
harry_styles	27862391	rustyrockets
harry_styles	27862391	jimmyfallon
harry_styles	27862391	real_liam_payne
harry_styles	27862391	johnlegend
harry_styles	27862391	emwatson
harry_styles	27862391	nickjonas
harry_styles	27862391	enriqueiglesias
harry_styles	27862391	simoncowell
harry_styles	27862391	zaynmalik
harry_styles	27862391	waynerooney
harry_styles	27862391	rickygervais
harry_styles	27862391	carlyraejepsen
harry_styles	27862391	joejonas
harry_styles	27862391	ddlovato
harry_styles	27862391	jlo
harry_styles	27862391	justinbieber
stephenathome	10960568	usher
stephenathome	10960568	johnlegend
stephenathome	10960568	emwatson
stephenathome	10960568	sarahksilverman
stephenathome	10960568	pharrell
stephenathome	10960568	pitbull
stephenathome	10960568	ryanseacrest
stephenathome	10960568	danieltosh
stephenathome	10960568	kelly_clarkson
stephenathome	10960568	jessicaalba
stephenathome	10960568	oprah
stephenathome	10960568	snoopdogg
stephenathome	10960568	jimmyfallon
stephenathome	10960568	justinbieber
stephenathome	10960568	jtimberlake
ludacris	11218709	usher
ludacris	11218709	johnlegend
ludacris	11218709	shaq
ludacris	11218709	wizkhalifa
